A,A,J,Q,BELL
BAR,BAR,K,D,Q
D,Q,Q,BAR,A
A,Q,7,J,W
BELL,D,A,A,J
Q,Q,BAR,K,Q
A,K,D,Q,A
W,BAR,K,Q,K
W,7,K,K,Q
Q,J,D,J,K
K,D,BELL,A,D
J,Q,Q,BAR,BAR
BELL,BELL,A,W,J
Q,J,A,J,W
A,K,J,K,J
J,A,K,Q,K
7,Q,W,7,BAR
K,Q,A,BAR,BAR
J,J,Q,A,Q
BAR,J,J,Q,BAR
D,D,J,A,D
7,J,K,K,Q
BAR,BAR,J,BELL,BELL
J,K,BAR,BAR,Q
BAR,BAR,W,BELL,K
K,Q,Q,J,Q
A,A,J,J,D
BAR,D,J,Q,7
K,K,A,D,A
7,J,J,J,BAR
BAR,J,Q,A,A
D,J,Q,Q,K
BELL,D,Q,J,J
W,BAR,A,D,J
J,K,K,K,K
J,BAR,J,Q,W
D,K,A,A,J
K,W,Q,J,A
BELL,A,A,J,BELL
K,J,K,K,J
BELL,A,Q,J,K
A,Q,BELL,D,J
J,J,A,J,W
BAR,K,7,BELL,J
A,Q,BELL,W,BAR
K,BELL,BELL,BAR,K
J,BELL,K,7,K
K,W,K,Q,Q
J,Q,D,BAR,J
Q,BELL,BELL,W,BELL
7,J,K,BAR,J
A,BAR,BAR,A,Q
K,7,BELL,BAR,A
J,7,J,BELL,BELL
D,Q,K,BELL,Q
A,K,D,J,BAR
K,7,K,J,D
J,A,J,Q,A
Q,J,K,D,BAR
K,Q,BAR,Q,Q
J,D,Q,Q,A
Q,J,BELL,Q,K
7,K,Q,Q,K
Q,BAR,BAR,K,K
J,Q,Q,K,J
BELL,J,Q,W,BAR
W,K,A,A,BELL
A,BAR,BAR,K,D
Q,A,J,J,BELL
J,J,J,BAR,7
J,K,D,A,J
Q,BELL,A,7,A
BELL,D,D,A,D
K,K,Q,D,7
Q,J,Q,K,Q
BAR,BELL,A,A,BELL
Q,A,J,K,J
BAR,A,K,K,7
K,J,W,Q,K
K,J,BAR,J,K
BAR,Q,D,BELL,D
Q,J,BELL,J,J
A,BELL,BAR,Q,Q
Q,BELL,BAR,7,A
D,A,J,BAR,Q
D,K,7,Q,J
J,W,Q,D,J
J,A,A,K,BAR
K,A,Q,J,J
BAR,BAR,W,7,Q
Q,BAR,BAR,A,K
A,Q,J,BELL,Q
Q,W,7,K,A
Q,K,BELL,J,Q
BELL,BELL,BAR,BELL,BELL
Q,A,J,BAR,A
J,Q,J,K,BAR
A,K,K,A,7
BELL,Q,7,BELL,A
J,7,J,J,J
